,count,mean,std,min,50%,95%,99%,max
rtt_ms,51068.0,58.42873335552596,44.916560339160796,25.75,49.931,128.66195,176.03823000000006,1848.0
jitter_ms,51068.0,6.080192096812094,72.71961954926613,0.0,0.993,15.109249999999971,40.19378000000011,3088.667
loss_rate,51070.0,0.010074407675739182,0.05532533293287507,0.0,0.0,0.0,0.25,1.0
dns_latency_ms,51066.0,50.17105381271296,45.571849335023074,0.254,45.418,131.92625,184.65049999999994,4945.648
http_latency_ms,51067.0,610.977007167055,947.112537562426,365.462,497.902,1357.1112999999991,1850.363539999999,47294.055
