hour,rtt_ms,jitter_ms,loss_rate,dns_latency_ms,http_latency_ms
0,54.5095925,7.29299625,0.00010416666666666667,45.328765833333335,523.7980841666666
1,51.2913,2.42845,0.0,44.4536,506.6962
3,48.95257763157895,1.7997039473684209,0.0005482456140350877,41.21085087719298,503.92499780605533
4,47.720344298245614,1.4850052631578947,0.0002192982456140351,38.432582894736846,495.96346184210523
5,49.5680149122807,6.377557456140351,0.000986842105263158,38.16445350877193,498.4110688596491
6,59.06822368421052,22.813027192982457,0.0008771929824561404,40.20433859649123,588.0872969298246
7,50.91022212467077,10.074851185250221,0.001206140350877193,42.73513137082601,555.3011654960492
8,55.308942105263164,19.3770350877193,0.002302631578947368,40.155959649122806,577.9801969298245
9,51.43252763157895,10.562081578947367,0.0018640350877192982,44.394075,722.32605
10,46.4734951754386,1.1439166666666667,0.0008771929824561404,39.85999780701754,489.20173464912284
11,59.49964078947369,4.092948684210526,0.012828947368421053,53.18208026315789,678.2337618421052
12,57.649318859649114,2.752571052631579,0.013048245614035088,51.273679824561405,600.0749916666666
13,48.3158350877193,1.0164,0.0005482456140350877,40.32854649122807,491.3259381578947
14,48.59920833333334,0.9969960526315789,0.0014254385964912282,40.74332763157894,494.51933026315794
15,50.435344736842104,2.396927631578947,0.0015350877192982456,41.95558596491228,535.7057754385966
16,50.604453508771925,1.623282894736842,0.001644736842105263,42.179527192982455,510.76093947368423
17,49.94935977701544,0.9786968267581475,0.0007504288164665523,41.87567538593482,497.01409476843907
18,50.085771666666666,0.9370041666666666,0.0004166666666666667,40.78389166666666,498.06140625
19,49.76073708333333,0.9478874999999999,0.0004166666666666667,40.64605958333333,498.517275
20,112.10856630525439,12.134470809007507,0.06974562135112594,111.18652627189323,1183.0228065054212
21,130.33005625,15.769395833333334,0.09770833333333333,132.10778125,1386.5866420833333
22,54.86748125,1.7476633333333333,0.006145833333333333,45.6610125,549.3358504166666
23,54.46691166666667,7.407550416666666,0.00125,45.82566625,520.7739804166667
