method,split,start,last_sample,end_exclusive_estimated,n_samples,estimated_minutes,dominant_increase_metric,max_score,rtt_ms,jitter_ms,loss_rate,dns_latency_ms,http_latency_ms
baseline,train,2026-08-26 20:14:00+07:00,2026-08-26 22:08:30+07:00,2026-08-26 22:09:00+07:00,230,115.0,http_latency_ms,0.6575949865898919,139.32473956521739,16.705454347826088,0.09586956521739129,148.63007913043478,1477.2120104347825
baseline,train,2026-08-26 23:18:30+07:00,2026-08-26 23:26:00+07:00,2026-08-26 23:26:30+07:00,16,8.0,jitter_ms,0.743531009860972,114.31491875,161.42099375,0.0140625,60.52624374999999,674.9603625
baseline,train,2026-08-26 23:28:30+07:00,2026-08-26 23:54:30+07:00,2026-08-26 23:55:00+07:00,53,26.5,jitter_ms,0.7525359035329301,142.2712264150943,165.23580566037737,0.0,91.00442830188679,549.2236660377358
baseline,train,2026-08-27 00:13:30+07:00,2026-08-27 00:18:00+07:00,2026-08-27 00:18:30+07:00,10,5.0,jitter_ms,0.7075682850720993,133.1825,211.84668000000002,0.0,50.17886,486.42656999999997
baseline,train,2026-08-27 00:29:00+07:00,2026-08-27 00:33:30+07:00,2026-08-27 00:34:00+07:00,10,5.0,jitter_ms,0.7115327439085277,143.4175,232.74003,0.0,54.013369999999995,536.02334
baseline,train,2026-08-27 00:35:30+07:00,2026-08-27 00:45:00+07:00,2026-08-27 00:45:30+07:00,20,10.0,jitter_ms,0.7032727973838059,91.15875,97.22331,0.0,52.826415,864.1741549999999
baseline,train,2026-08-27 00:47:30+07:00,2026-08-27 01:00:00+07:00,2026-08-27 01:00:30+07:00,26,13.0,jitter_ms,0.7562145489747049,145.61442307692306,152.34736923076923,0.0,51.99618846153846,926.801219230769
baseline,train,2026-08-27 06:39:30+07:00,2026-08-27 06:56:30+07:00,2026-08-27 06:57:00+07:00,35,17.5,jitter_ms,0.8129908595105394,231.21846285714284,251.69187142857143,0.007142857142857143,49.88876571428571,3257.608942857143
baseline,train,2026-08-27 11:42:30+07:00,2026-08-27 11:43:30+07:00,2026-08-27 11:44:00+07:00,3,1.5,http_latency_ms,0.5653012548666603,90.28683333333333,7.7379999999999995,0.075,79.3096,873.8579666666666
baseline,train,2026-08-27 11:50:30+07:00,2026-08-27 12:18:30+07:00,2026-08-27 12:19:00+07:00,57,28.5,http_latency_ms,0.5691247294756349,108.0339298245614,11.264524561403508,0.06315789473684211,108.55941754385965,1114.5744771929826
