,tcp_connect_ms,tls_handshake_ms,ttfb_ms,http_latency_ms
tcp_connect_ms,1.0,0.07541246775799644,0.02861046326230758,0.9368930424979584
tls_handshake_ms,0.07541246775799644,1.0,0.7580005781080893,0.34937592997883005
ttfb_ms,0.02861046326230758,0.7580005781080893,1.0,0.30755711861275226
http_latency_ms,0.9368930424979584,0.34937592997883005,0.30755711861275226,1.0
