timestamp,tcp_connect_ms,tls_handshake_ms,ttfb_ms,http_latency_ms,remaining_read_ms
2026-09-02 20:54:30+07:00,233.234,385.941,677.831,1842.583,545.5770000000002
2026-09-02 20:55:00+07:00,276.994,369.253,640.158,1865.921,579.5159999999998
2026-09-02 20:55:30+07:00,272.392,358.359,681.743,1879.663,567.1689999999999
2026-09-02 20:56:00+07:00,266.577,430.274,641.829,1949.112,610.4320000000002
2026-09-02 20:56:30+07:00,251.654,443.869,681.15,1934.507,557.8340000000001
2026-09-02 20:57:00+07:00,262.659,398.396,644.593,1987.445,681.7969999999998
2026-09-02 20:57:30+07:00,225.329,359.037,683.436,1767.907,500.1049999999998
2026-09-02 20:58:00+07:00,249.778,377.033,684.186,1821.708,510.711
2026-09-02 20:58:30+07:00,245.576,402.056,647.984,1782.195,486.57899999999995
2026-09-02 20:59:00+07:00,261.902,358.908,670.836,1980.504,688.858
2026-09-02 20:59:30+07:00,294.221,378.37,634.57,1917.192,610.031
2026-09-02 21:00:00+07:00,284.593,387.53,748.042,1975.433,555.268
2026-09-02 21:00:30+07:00,269.308,390.857,696.886,1907.785,550.7340000000002
2026-09-02 21:01:00+07:00,263.212,368.592,702.186,1968.818,634.828
2026-09-02 21:01:30+07:00,287.79,369.789,638.721,1814.631,518.3310000000001
2026-09-02 21:02:00+07:00,255.743,389.037,671.371,1717.82,401.6690000000001
2026-09-02 21:02:30+07:00,260.508,418.775,630.018,1795.535,486.23400000000015
2026-09-02 21:03:00+07:00,250.716,378.411,765.085,1990.719,596.5070000000001
2026-09-02 21:03:30+07:00,271.434,380.722,639.884,1927.156,635.116
2026-09-02 21:04:00+07:00,269.882,383.492,664.149,1845.104,527.5809999999999
2026-09-02 21:04:30+07:00,253.685,359.447,726.095,1972.861,633.634
2026-09-02 21:05:00+07:00,271.419,392.131,650.389,1943.312,629.373
2026-09-02 21:05:30+07:00,249.009,324.374,671.08,1672.871,428.4079999999999
2026-09-02 21:06:00+07:00,280.486,363.371,673.482,1800.19,482.8510000000001
2026-09-02 21:06:30+07:00,288.588,404.632,686.072,1968.254,588.962
2026-09-02 21:07:00+07:00,270.24,351.81,714.277,1927.588,591.261
2026-09-02 21:07:30+07:00,295.381,366.76,717.585,1969.806,590.0799999999999
2026-09-02 21:08:00+07:00,287.585,402.768,632.82,1843.113,519.94
2026-09-02 21:08:30+07:00,232.564,364.799,661.085,1873.625,615.1770000000001
2026-09-02 21:09:00+07:00,304.564,402.093,684.989,1970.584,578.9379999999999
2026-09-02 21:09:30+07:00,241.667,381.259,651.402,1935.485,661.1569999999999
2026-09-02 21:10:00+07:00,276.494,384.891,788.089,1966.146,516.6719999999998
2026-09-02 21:10:30+07:00,236.322,424.16,684.454,1912.849,567.913
2026-09-02 21:11:00+07:00,257.198,327.039,654.083,1858.977,620.6570000000002
2026-09-02 21:11:30+07:00,244.22,390.058,681.366,1814.321,498.6769999999999
2026-09-02 21:12:00+07:00,238.695,338.147,691.99,1812.608,543.7760000000001
2026-09-02 21:12:30+07:00,264.719,375.109,608.777,1925.861,677.2560000000001
2026-09-02 21:13:00+07:00,261.532,353.885,683.96,1843.285,543.9080000000001
2026-09-02 21:13:30+07:00,250.347,394.641,684.055,1915.961,586.9179999999999
2026-09-02 21:14:00+07:00,264.95,389.531,731.235,1981.905,596.1890000000001
2026-09-02 21:14:30+07:00,226.811,367.768,595.757,1724.535,534.1990000000003
2026-09-02 21:15:00+07:00,249.129,378.236,693.261,1896.589,575.963
2026-09-02 21:15:30+07:00,253.503,303.647,780.19,1830.805,493.4649999999999
2026-09-02 21:16:00+07:00,249.918,318.359,612.421,1689.985,509.2869999999998
2026-09-02 21:16:30+07:00,238.629,357.026,727.373,1939.355,616.327
2026-09-02 21:17:00+07:00,271.211,345.642,628.347,1738.288,493.08799999999997
2026-09-02 21:17:30+07:00,253.552,342.028,689.345,1800.034,515.1089999999999
2026-09-02 21:18:00+07:00,245.906,365.591,632.784,1760.556,516.2750000000001
2026-09-02 21:18:30+07:00,218.867,326.641,654.801,1726.876,526.5669999999998
2026-09-02 21:19:00+07:00,218.859,287.486,632.103,1611.456,473.00800000000004
2026-09-02 21:19:30+07:00,259.764,381.412,617.431,1774.719,516.1120000000001
2026-09-02 21:20:00+07:00,269.052,387.282,565.908,1643.511,421.2689999999998
2026-09-02 21:20:30+07:00,222.972,367.006,591.228,1668.235,487.029
2026-09-02 21:21:00+07:00,265.806,410.037,617.779,1798.202,504.58000000000015
2026-09-02 21:21:30+07:00,251.419,321.122,593.378,1718.002,552.0829999999999
2026-09-02 21:22:00+07:00,219.272,367.0,590.108,1708.517,532.1370000000002
2026-09-02 21:22:30+07:00,243.591,346.358,638.324,1695.281,467.0079999999998
